,Category,Question
5,Prevention ,should i mkae my own hand asniitzer if i acnt find it in the tsores
6,Prevention ,should i make my own hand sanitizer if i cant find information technology in the store
7,Prevention ,i make my own sanitizer if i find it in the
8,Prevention ,should i make my own hand sanitizer if in cannot fined it' in the stores
9,Prevention ,sho uld i make my own hand sanitizer if i ca nt f ind it in the st ores
0,Prevention ,what co<9any will o4oduce the vaccine for covid
1,Prevention ,what company wi_l produce the vaccine for cOvid
2,Prevention ,what company ill produce the ccine for covid
3,Prevention ,what coxmpTany will proRdunce the vaccine for covid
4,Prevention ,waht company will rpodcue the vaccine for covid
5,Prevention ,waht company will rpodcue the vaccine for covid
6,Prevention ,what companionship will bring forth the vaccine for covid
7,Prevention ,what produce the vaccine for covid
8,Prevention ,what company will produse the vaccine vor covid
9,Prevention ,what company will prod uce the vaccine for cov id
0,Prevention ,is hhere a vaccine
1,Prevention ,is there a vaaci+e
2,Prevention ,is there a vcine
3,Prevention ,is there a vaGccijne
4,Prevention ,is theer a vaccine
5,Prevention ,is theer a vaccine
6,Prevention ,is there a vaccinum
7,Prevention ,is there vaccine
8,Prevention ,is tehre a vaccine
9,Prevention ,is t here a vaccine
0,Prevention ,how do we pro4Dct ourselves
1,Prevention ,how do we protRjt ourselves
2,Prevention ,how do we potct ourselves
3,Prevention ,how do we protect oburselvjes
4,Prevention ,how do we rpotcet ourselves
5,Prevention ,how do we rpotcet ourselves
6,Prevention ,how do we protect ourselves
7,Prevention ,how do we protect
8,Prevention ,Hou do we protect ourselves
9,Prevention ,how do we prote ct ourselves
0,Prevention ,wjat is the current s4atus of the covid vaccine
1,Prevention ,what is the current stat)s of the covid vac8inx
2,Prevention ,wat is the current status of the cvid vaccine
3,Prevention ,wha$t is the current status of the covid vacbcXine
4,Prevention ,what is the cruretn stauts of the covid vaccine
5,Prevention ,what is the cruretn stauts of the covid vaccine
6,Prevention ,what is the current status of the covid vaccine
7,Prevention ,what the current status the covid vaccine
8,Prevention ,whan shi the current status of the covid vaccine
9,Prevention ,what is the current status of the co vid va ccine
0,Prevention ,which coviv mask works
1,Prevention ,which covid mask wo2ks
2,Prevention ,wich covid mask works
3,Prevention ,which cuovid mask works
4,Prevention ,which covid mask owrks
5,Prevention ,which covid mask owrks
6,Prevention ,which covid masquerade works
7,Prevention ,which covid mask
8,Prevention ,whish covid mask works
9,Prevention ,which covid mask wor ks
0,Prevention ,will cov8d vaccines be eff$cYive since a Tec8vered person can contract the virus agQin
1,Prevention ,will covid vaccines be effective sinc% a recovern* pYrson can contract the virys again
2,Prevention ,will covid acines be effective since a recoeed person can ontrct the irus again
3,Prevention ,will Ocovid vaccines be ze#ffective since a recovered persoin can co7ntrract the virus again
4,Prevention ,will covid vaccines be effective since a recovered persno can ncotract the viurs agani
5,Prevention ,will covid vaccines be effective since a recovered persno can ncotract the viurs agani
6,Prevention ,volition covid vaccines be in effect since a recovered soul can contract the virus again
7,Prevention ,will covid vaccines be effective a recovered person can contract
8,Prevention ,will covid vaccines be dffective since as recovered person an countract the virus again
9,Prevention ,will c ovid vaccines be effective since a re covered p erson can contract the virus aga in
0,Prevention ,do mXsks help )revegt the spread of covid
1,Prevention ,do yasks help prevent the spread of cKvid
2,Prevention ,do maks help prevent the pread of covid
3,Prevention ,do masks hTelp prevent the s2pread of covid
4,Prevention ,do masks help preenvt the spreda of covid
5,Prevention ,do masks help preenvt the spreda of covid
6,Prevention ,do mask help prevent the spread of covid
7,Prevention ,do masks help spread of covid
8,Prevention ,do masks help prevent thy speard of covid
9,Prevention ,do masks help prev ent the spread of cov id
0,Prevention ,what type of fSce mask is recommended to peeveMt catching cpvid
1,Prevention ,what tyNe of face mask is reAomiend)d to prevent (atMhing covid
2,Prevention ,what type of ace msk is recommended to prevent atcing covid
3,Prevention ,what type of cface mask is recommended to %prexvent catching covTid
4,Prevention ,what type of face msak is recommended to eprvent actcihng covid
5,Prevention ,what type of face msak is recommended to eprvent actcihng covid
6,Prevention ,what type of face masque is recommended to forbid catch covid
7,Prevention ,type of face mask is recommended to catching covid
8,Prevention ,wahat typis of face mask is reccomended to prevent catching covid
9,Prevention ,what type of f ace mask is recommen ded to prevent catching c ovid
0,Prevention ,if traveling on a planW how do i stsy safw
1,Prevention ,if vjaveling on a plana how do i stSy safe
2,Prevention ,if treling on a plan how do i tay safe
3,Prevention ,if traveling on a plnane how do i s&tay saf^e
4,Prevention ,if traveling on a palne how do i stya saef
5,Prevention ,if traveling on a palne how do i stya saef
6,Prevention ,if traveling on a plane how do i stay safe
7,Prevention ,if traveling on plane do i safe
8,Prevention ,is traveling on a plane hwo do i estay safe
9,Prevention ,if traveling on a pla ne how do i s tay s afe
0,Prevention ,how do i k@ep safe from sovid
1,Prevention ,how do i k5ep sSfe from covid
2,Prevention ,how do i keep safe frm coid
3,Prevention ,how do i keep safZe freom covid
4,Prevention ,how do i keep safe rfom ocvid
5,Prevention ,how do i keep safe rfom ocvid
6,Prevention ,how do i keep good from covid
7,Prevention ,how do i keep from
8,Prevention ,how do l keep safety from covid
9,Prevention ,how do i ke ep s afe from covid
0,Prevention ,how can i pFevSnt covid
1,Prevention ,how can i prevent conid
2,Prevention ,how can i prevent cvid
3,Prevention ,how can i preeMvent covid
4,Prevention ,how can i prevent coivd
5,Prevention ,how can i prevent coivd
6,Prevention ,how can i prevent covid
7,Prevention ,how can prevent covid
8,Prevention ,hou can i prevent covid
9,Prevention ,how can i pr event covid
0,Reporting ,can we expWct new movies aTter covid
1,Reporting ,can we expect new #ovies after c1vid
2,Reporting ,can we expect new moves after coid
3,Reporting ,can we exepect new m*ovies after covid
4,Reporting ,can we exepct new movies atfer covid
5,Reporting ,can we exepct new movies atfer covid
6,Reporting ,commode we require new movies after covid
7,Reporting ,can we new after covid
8,Reporting ,can we expext new movis after covid
9,Reporting ,can we expect new movies af ter cov id
0,Reporting ,where can published genoK9c s4quehces be Round for the covid virus
1,Reporting ,wRere can published g+n2mic sequences be found for the c4vid virus
2,Reporting ,where can pubishd genomic seuenes be fond for the covid virus
3,Reporting ,where can puLblishe!d getnoAmic sequences be found for the covEid virus
4,Reporting ,where can upblishde genomic sequnecse be found for the covid viurs
5,Reporting ,where can upblishde genomic sequnecse be found for the covid viurs
6,Reporting ,where can print genomic sequences be found for the covid virus
7,Reporting ,where genomic sequences found for the covid virus
8,Reporting ,wich cat published genomic sequences be found for the covid virtus
9,Reporting ,wh ere can published gen omic sequences be found for the co vid virus
0,Reporting ,where was civid first identified
1,Reporting ,where was chvid first identified
2,Reporting ,where was covid first ideifid
3,Reporting ,where was covid Lfirst identified
4,Reporting ,where was covid frist identified
5,Reporting ,where was covid frist identified
6,Reporting ,where was covid first identify
7,Reporting ,where covid first identified
8,Reporting ,where waw covid first identified
9,Reporting ,where was covid f irst identified
0,Reporting ,do you thihk rhey will make a movoe about covid
1,Reporting ,do you think tJey will make a movi0 about cov5d
2,Reporting ,do you hink hey wil make a movie about covid
3,Reporting ,do you thi5nk they will makSe a movjie about covid
4,Reporting ,do you thnik they will make a moive aobut covid
5,Reporting ,do you thnik they will make a moive aobut covid
6,Reporting ,do you think they will create a motion picture about covid
7,Reporting ,do you they will a about covid
8,Reporting ,du you think they will amke a moves about covid
9,Reporting ,do you t hink they wi ll make a movie about c ovid
0,Reporting ,are covid deaths xccuraYe
1,Reporting ,are &ovid deaths accurate
2,Reporting ,are covid deahs accurate
3,Reporting ,are covid deaths cafccurate
4,Reporting ,are covid edaths accurate
5,Reporting ,are covid edaths accurate
6,Reporting ,personify covid deaths accurate
7,Reporting ,are covid accurate
8,Reporting ,are covid deads accurate
9,Reporting ,are covid dea ths accurate
0,Reporting ,is covid a political too/
1,Reporting ,is covid a 1olitiNal tool
2,Reporting ,is covid a political ool
3,Reporting ,is covid a po*lfitical tool
4,Reporting ,is covid a ploitiacl tool
5,Reporting ,is covid a ploitiacl tool
6,Reporting ,is covid a political tool
7,Reporting ,covid a political tool
8,Reporting ,is covid a policial tool
9,Reporting ,is covid a po litical tool
0,Reporting ,when was covid first ideG$ifUed
1,Reporting ,when was cohid first identified
2,Reporting ,when was covid irst identified
3,Reporting ,when was covid firsPt identified
4,Reporting ,when was ocvid first identified
5,Reporting ,when was ocvid first identified
6,Reporting ,when was covid firstly identified
7,Reporting ,when covid first identified
8,Reporting ,whent was covid first identified
9,Reporting ,wh en was covid first identified
0,Reporting ,can cLvid reRuce the population of humanz on earth by half
1,Reporting ,can covid red@ce the pkpulA7ion of humwns on earth by half
2,Reporting ,can covid reduce the ppultio of humans on eath by hlf
3,Reporting ,can co2vid reduce the populTatiwoqn of humans on earth by haltf
4,Reporting ,can covid reduce the popualitno of humnas on earth by ahlf
5,Reporting ,can covid reduce the popualitno of humnas on earth by ahlf
6,Reporting ,can covid reduce the population of humans on ground by half
7,Reporting ,can covid the population humans on earth half
8,Reporting ,can covid reduce the popolation of humans on earth bay helf
9,Reporting ,can covid reduce the po pulation of h umans on ea rth by half
0,Reporting ,whOch covid model is best
1,Reporting ,which covid mo0el is best
2,Reporting ,which covid model is bet
3,Reporting ,which covid moIdel is best
